Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
1289,追う,おう,"follow, chase, pursue",47,0.94,3026,http://jisho.org/search/追う
1290,権利,けんり,"right, claim, entitlement",47,0.82,3414,http://jisho.org/search/権利
1291,何々,なになに,"such and such, this and that",47,0.21,N/A,http://jisho.org/search/何々
1292,計算,けいさん,calculation,47,0.93,916,http://jisho.org/search/計算
1293,痛み,いたみ,"pain, ache",47,0.9,2780,http://jisho.org/search/痛み
1294,返す,かえす,return; repay; turn over,47,0.95,927,http://jisho.org/search/返す
1295,庭,にわ,"garden, yard",47,0.89,1669,http://jisho.org/search/庭
1296,納得,なっとく,agreement,47,0.98,5480,http://jisho.org/search/納得
1297,組織,そしき,"organization, structure",47,0.87,1324,http://jisho.org/search/組織
1298,能力,のうりょく,"ability, capacity, power; proficiency",47,0.93,766,http://jisho.org/search/能力
1299,人口,じんこう,population,47,0.84,468,http://jisho.org/search/人口
1300,薄い,うすい,"thin, light, weak",47,0.94,1581,http://jisho.org/search/薄い
1301,注,ちゅう,"note, annotation, comment",46,0.38,4909,http://jisho.org/search/注
1302,二回,にかい,twice,46,0.93,N/A,http://jisho.org/search/二回
1303,治療,ちりょう,"cure, treatment, therapy",46,0.95,5530,http://jisho.org/search/治療
1304,昼,ひる,noon; daytime,46,0.83,138,http://jisho.org/search/昼
1305,を通じて,をつうじて,"throughout, across, through",46,0.8,N/A,http://jisho.org/search/を通じて
1306,せっかく,せっかく,"with effort, take the trouble to",46,0.95,3650,http://jisho.org/search/せっかく
1307,赤い,あかい,red,46,0.89,183,http://jisho.org/search/赤い
1308,比較的,ひかくてき,"comparative, relative",46,0.96,5072,http://jisho.org/search/比較的
1309,サービス,さーびす,service,46,0.96,500,http://jisho.org/search/サービス
1310,何人,なんにん,how many people,46,0.91,N/A,http://jisho.org/search/何人
1311,荷物,にもつ,"baggage, parcel, burden",46,0.83,796,http://jisho.org/search/荷物
1312,魅力,みりょく,"charm, attraction, appeal",46,0.85,5863,http://jisho.org/search/魅力
1313,現場,げんば,"field, scene, spot",46,0.99,2590,http://jisho.org/search/現場
1314,道具,どうぐ,"tool, instrument",46,0.84,4927,http://jisho.org/search/道具
1315,遠く,とおく,"far, remote",46,0.88,648,http://jisho.org/search/遠く
1316,中学,ちゅうがく,junior high school,46,0.84,833,http://jisho.org/search/中学
1317,村,むら,village,46,0.9,4386,http://jisho.org/search/村
1318,システム,しすてむ,system,46,0.97,410,http://jisho.org/search/システム
1319,あそこ,あそこ,"there, over there",46,0.88,379,http://jisho.org/search/あそこ
1320,十時,じゅうじ,ten o’clock,45,0.28,N/A,http://jisho.org/search/十時
1321,息,いき,"breath, respiration",45,0.82,2690,http://jisho.org/search/息
1322,伝わる,つたわる,"spread, descend, travel",45,0.96,5574,http://jisho.org/search/伝わる
1323,撮影,さつえい,shooting,45,0.76,3499,http://jisho.org/search/撮影
1324,指導,しどう,guidance,45,0.75,3358,http://jisho.org/search/指導
1325,生かす,いかす,keep alive; make use of,45,0.89,2350,http://jisho.org/search/生かす
1326,韓国,かんこく,"Korea, South Korea, Republic of Korea",45,0.94,N/A,http://jisho.org/search/韓国
1327,字,じ,"letter, character; handwriting",45,0.89,594,http://jisho.org/search/字
1328,指定,してい,appointment,45,0.79,2527,http://jisho.org/search/指定
1329,経営,けいえい,management,45,0.94,894,http://jisho.org/search/経営
1330,あらゆる,あらゆる,"every, all, any",45,0.93,N/A,http://jisho.org/search/あらゆる
1331,価値,かち,"value, worth",45,0.95,2242,http://jisho.org/search/価値
1332,南,みなみ,south,45,0.92,531,http://jisho.org/search/南
1333,成立,せいりつ,completion,45,0.79,2860,http://jisho.org/search/成立
1334,季節,きせつ,season,45,0.9,1276,http://jisho.org/search/季節
1335,導入,どうにゅう,introduction,45,0.81,1602,http://jisho.org/search/導入
1336,ことにする,ことにする,"decide to, pretend to",45,0.82,N/A,http://jisho.org/search/ことにする
1337,一枚,いちまい,"one (sheet, slice)",45,0.9,N/A,http://jisho.org/search/一枚
1338,い,い,QUESTION,45,0.73,N/A,http://jisho.org/search/い
1339,先輩,せんぱい,"senior, elder",45,0.82,5891,http://jisho.org/search/先輩
1340,全員,ぜんいん,"all members, everyone",45,0.94,2174,http://jisho.org/search/全員
1341,にしても,にしても,"even if, even though",45,0.84,N/A,http://jisho.org/search/にしても
1342,四人,よにん,four people,45,0.94,N/A,http://jisho.org/search/四人
1343,人物,じんぶつ,"person, character",45,0.83,2309,http://jisho.org/search/人物
1344,距離,きょり,distance,45,0.99,3190,http://jisho.org/search/距離
1345,泊まる,とまる,stay,45,0.76,287,http://jisho.org/search/泊まる
1346,充実,じゅうじつ,fullness,45,0.74,N/A,http://jisho.org/search/充実
1347,によると,によると,according to,45,0.93,N/A,http://jisho.org/search/によると
1348,コミュニケーション,こみゅにけーしょん,communication,45,0.82,N/A,http://jisho.org/search/コミュニケーション
1349,散歩,さんぽ,"walk, stroll",45,0.81,1674,http://jisho.org/search/散歩
1350,グループ,ぐるーぷ,"group, team",45,0.98,505,http://jisho.org/search/グループ
1351,黒い,くろい,black,45,0.89,676,http://jisho.org/search/黒い
1352,九時,くじ,nine o’clock,45,0.33,N/A,http://jisho.org/search/九時
1353,石,いし,"stone, rock",45,0.89,493,http://jisho.org/search/石
1354,エネルギー,えねるぎー,"energy, power",45,0.94,2131,http://jisho.org/search/エネルギー
1355,挨拶,あいさつ,greeting,45,0.93,1965,http://jisho.org/search/挨拶
1356,愛,あい,"love, affection",44,0.87,1622,http://jisho.org/search/愛
1357,比較,ひかく,comparison,44,0.81,5073,http://jisho.org/search/比較
1358,結ぶ,むすぶ,"tie, connect, unite",44,0.92,4796,http://jisho.org/search/結ぶ
1359,移る,うつる,"move, transfer, shift",44,0.95,1011,http://jisho.org/search/移る
1360,従来,じゅうらい,"up to now, conventional, traditional",44,0.71,1339,http://jisho.org/search/従来
1361,嫌い,きらい,"dislike, hate",44,0.77,383,http://jisho.org/search/嫌い
1362,注目,ちゅうもく,attention,44,0.89,1211,http://jisho.org/search/注目
1363,携帯,けいたい,portable,44,0.74,N/A,http://jisho.org/search/携帯
1364,休む,やすむ,"take a rest, be absent from",44,0.87,96,http://jisho.org/search/休む
1365,甘い,あまい,sweet; soft,44,0.92,358,http://jisho.org/search/甘い
1366,最高,さいこう,"best, highest",44,0.94,2105,http://jisho.org/search/最高
1367,弟,おとうと,younger brother,44,0.89,302,http://jisho.org/search/弟
1368,卵,たまご,"egg, spawn",44,0.92,1736,http://jisho.org/search/卵
1369,服,ふく,"clothes, dress, outfit",44,0.9,290,http://jisho.org/search/服
1370,赤ちゃん,あかちゃん,"baby, infant",44,0.86,678,http://jisho.org/search/赤ちゃん
1371,始め,はじめ,"beginning, origin",44,0.88,4663,http://jisho.org/search/始め
1372,要求,ようきゅう,"demand, request, claim",44,0.89,913,http://jisho.org/search/要求
1373,紙,かみ,paper,44,0.96,271,http://jisho.org/search/紙
1374,妹,いもうと,younger sister,44,0.86,298,http://jisho.org/search/妹
1375,額,がく,amount of money; frame,44,0.73,4556,http://jisho.org/search/額
1376,交ぜる,まぜる,"mix, shuffle",44,0.9,4205,http://jisho.org/search/交ぜる
1377,抱く,いだく,"have, hold, embrace",44,0.85,5786,http://jisho.org/search/抱く
1378,出来上がる,できあがる,"be completed, be finished, be ready",44,0.94,4058,http://jisho.org/search/出来上がる
1379,小説,しょうせつ,"novel, fiction, story",44,0.89,1238,http://jisho.org/search/小説
1380,訪れる,おとずれる,"visit, call on, arrive",44,0.84,1479,http://jisho.org/search/訪れる
1381,汗,あせ,"sweat, perspiration",44,0.83,3867,http://jisho.org/search/汗
1382,特別,とくべつ,"special, particular",44,0.96,1173,http://jisho.org/search/特別
1383,改善,かいぜん,"improvement, reform",44,0.75,3918,http://jisho.org/search/改善
1384,休み,やすみ,holiday; rest; be closed,44,0.77,464,http://jisho.org/search/休み
1385,咲く,さく,bloom,43,0.86,1672,http://jisho.org/search/咲く
1386,基本,きほん,"foundation, basis, basic",43,0.96,1228,http://jisho.org/search/基本
1387,暑い,あつい,"hot, warm",43,0.77,200,http://jisho.org/search/暑い
1388,向く,むく,"turn, face, look",43,0.9,537,http://jisho.org/search/向く
1389,ますます,ますます,"more and more, increasingly",43,0.97,4043,http://jisho.org/search/ますます
1390,最終的,さいしゅうてき,"final, last, ultimate",43,0.95,N/A,http://jisho.org/search/最終的
1391,感情,かんじょう,"feeling, emotion",43,0.89,3030,http://jisho.org/search/感情
1392,我慢,がまん,"patience, endurance, tolerance",43,0.86,1892,http://jisho.org/search/我慢
1393,浮かぶ,うかぶ,"float, rise",43,0.86,3110,http://jisho.org/search/浮かぶ
1394,利益,りえき,"profit, benefit, gain",43,0.92,4541,http://jisho.org/search/利益
1395,先日,せんじつ,"the other day, recently",43,0.69,2004,http://jisho.org/search/先日
1396,裏,うら,"reverse, back; rear",43,0.92,1524,http://jisho.org/search/裏
1397,もたらす,もたらす,"bring, cause,",43,0.84,4055,http://jisho.org/search/もたらす
1398,姉,あね,elder sister,43,0.8,296,http://jisho.org/search/姉
1399,問う,とう,"ask, question; charge",43,0.96,4486,http://jisho.org/search/問う
1400,継ぐ,つぐ,"succeed, take over",43,0.2,5221,http://jisho.org/search/継ぐ
1401,北海道,ほっかいどう,Hokkaido,43,0.98,N/A,http://jisho.org/search/北海道
1402,構成,こうせい,"constitution, structure",43,0.88,1458,http://jisho.org/search/構成
1403,反応,はんのう,"reaction, response",43,0.97,4840,http://jisho.org/search/反応
1404,ナイフ,ないふ,knife,43,0.58,1030,http://jisho.org/search/ナイフ
1405,(お)じいさん,(お)じいさん,grandfather,43,0.86,N/A,http://jisho.org/search/(お)じいさん
1406,新宿,しんじゅく,Shinjuku (place name),43,0.68,N/A,http://jisho.org/search/新宿
1407,活用,かつよう,application,42,0.68,2367,http://jisho.org/search/活用
1408,正直,しょうじき,honesty,42,0.89,1268,http://jisho.org/search/正直
1409,黒,くろ,black,42,0.68,677,http://jisho.org/search/黒
1410,スーパー,すーぱー,supermarket,42,0.81,N/A,http://jisho.org/search/スーパー
1411,プロ,ぷろ,"professional, pro",42,0.83,4276,http://jisho.org/search/プロ
1412,渡す,わたす,"carry across, hand, transfer",42,0.92,641,http://jisho.org/search/渡す
1413,掲げる,かかげる,"hang out, hold up",42,0.53,N/A,http://jisho.org/search/掲げる
1414,京都,きょうと,Kyoto,42,0.98,N/A,http://jisho.org/search/京都
1415,就職,しゅうしょく,job hunting,42,0.93,1348,http://jisho.org/search/就職
1416,立派,りっぱ,"fine, splendid, great",42,0.96,1382,http://jisho.org/search/立派
1417,舞台,ぶたい,"stage, scene",42,0.89,5908,http://jisho.org/search/舞台
1418,現地,げんち,"field, on-site, local",42,0.94,2585,http://jisho.org/search/現地
1419,数字,すうじ,"number, figure",42,0.86,871,http://jisho.org/search/数字
1420,提出,ていしゅつ,submission,42,0.77,4984,http://jisho.org/search/提出
1421,コンピューター、コンピュータ,こんぴゅーたー、こんぴゅーた,computer,42,0.94,N/A,http://jisho.org/search/コンピューター、コンピュータ
1422,東京都,とうきょうと,"Tokyo, Tokyo metropolitan government, Tokyo metropolitan area",42,0.87,N/A,http://jisho.org/search/東京都
1423,から,から,because,42,0.61,N/A,http://jisho.org/search/から
1424,弾く,ひく,play (musical instrument),42,0.75,1761,http://jisho.org/search/弾く
1425,自宅,じたく,"home, house",42,0.91,1504,http://jisho.org/search/自宅
1426,腹,はら,"belly, stomach",42,0.87,5517,http://jisho.org/search/腹
1427,喜び,よろこび,"pleasure, delight",42,0.9,5455,http://jisho.org/search/喜び
1428,"しようがない, しょうがない","しようがない,しょうがない","it can’t be helped, nothing can be done",42,0,N/A,"http://jisho.org/search/しようがない, しょうがない"
1429,風呂,ふろ,bath,42,0.8,1947,http://jisho.org/search/風呂
1430,香り,かおり,"smell, scent",42,0.85,3870,http://jisho.org/search/香り
1431,スキー,すきー,ski; skiing,42,0.55,815,http://jisho.org/search/スキー
1432,構う,かまう,"mind, care about",42,0.91,3187,http://jisho.org/search/構う
1433,受け入れる,うけいれる,"receive, accept, agree",42,0.97,2326,http://jisho.org/search/受け入れる
1434,お菓子,おかし,"sweets, snack food",42,0.79,1838,http://jisho.org/search/お菓子
1435,無料,むりょう,"free, no charge",42,0.44,4290,http://jisho.org/search/無料
1436,付き合い,つきあい,"association, acquaintance",42,0.84,5294,http://jisho.org/search/付き合い
1437,私共,わたくしども,we,42,0.26,N/A,http://jisho.org/search/私共
1438,被害,ひがい,"damage, harm",42,0.77,5096,http://jisho.org/search/被害
1439,椅子,いす,chair,42,0.88,1990,http://jisho.org/search/椅子
1440,直す,なおす,"fix, repair, mend",42,0.94,1091,http://jisho.org/search/直す
1441,桜,さくら,cherry tree; cherry blossom,42,0.89,1671,http://jisho.org/search/桜
1442,回答,かいとう,"answer, response, reply",42,0.61,2744,http://jisho.org/search/回答
1443,ゲーム,げーむ,game,42,0.9,279,http://jisho.org/search/ゲーム
1444,ことはない,ことはない,"not have to, there is no need for",42,0.82,N/A,http://jisho.org/search/ことはない
1445,個人的,こじんてき,"private, personal, individual",42,0.88,N/A,http://jisho.org/search/個人的
1446,活躍,かつやく,"activity, action",42,0.9,3502,http://jisho.org/search/活躍
1447,試験,しけん,"exam, test, trial",42,0.87,866,http://jisho.org/search/試験
1448,身近,みじか,"familiar, close",42,0.91,5416,http://jisho.org/search/身近
1449,苦しい,くるしい,"painful, hard, difficult",41,0.94,1564,http://jisho.org/search/苦しい
1450,恥ずかしい,はずかしい,"ashamed, embarrassed",41,0.85,1634,http://jisho.org/search/恥ずかしい
1451,金,きん,"gold, money",41,0.26,409,http://jisho.org/search/金
1452,ただ,ただ,"just, mere, only",41,0.88,4011,http://jisho.org/search/ただ
1453,検査,けんさ,inspection,41,0.97,2910,http://jisho.org/search/検査
1454,皮、革,かわ,"skin, hide, jacket",41,0.92,N/A,http://jisho.org/search/皮、革
1455,白,しろ,white; innocence,41,0.68,674,http://jisho.org/search/白
1456,足りる,たりる,"be sufficient, be enough, be worthy",41,0.98,476,http://jisho.org/search/足りる
1457,代表,だいひょう,representative,41,0.93,1052,http://jisho.org/search/代表
1458,夕方,ゆうがた,evening,41,0.85,574,http://jisho.org/search/夕方
1459,下がる,さがる,"fall, drop, step back",41,0.97,446,http://jisho.org/search/下がる
